Product_ID,Product_Title,Product_Handle,Product_Type,Product_Published_At,Product_Variant_Id,Variant_Price,Variant_Inventory_Quantity,Variant_Created_At,Product_Created_At,Body_Html,Variant_Title,Option_Names,Option_Values,Image_Ids,Image_Sources
14818894414173,Mince Pies,mince-pies,Food,,55083478942045,3.95,20,2024-12-05T08:57:01Z,2024-12-05T08:57:00Z,"<p>Two Large Mince Pies locally made. Perfectly spiced, with a cake like shell, for a melt in your mouth bite of heaven this Christmas.</p>",Default Title,Title,Default Title,71720926871901,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BFFestiveJoyLavender_2_094cceb1-7a06-44e9-bc88-a9555473f2c0.jpg?v=1733388888
14818882027869,Cinnamon Stars,cinnamon-stars,Food,,55083429200221,4.95,98,2024-12-05T08:53:46Z,2024-12-05T08:53:45Z,"<p>A traditional Christmas Biscuit made with almonds, with a strong hint of cinnamon and a crunchy snow topped frosting.</p>",Default Title,Title,Default Title,71720912650589,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BFFestiveJoyLavender_3c715a05-6251-46d9-95d8-b5e8ed325c54.jpg?v=1733388740
14815415533917,Pretzel Crumb Dark Chocolate Wafers,pretzel-crumb-dark-chocolate-wafers,Food,,55068901015901,4.95,50,2024-12-04T12:00:26Z,2024-12-04T12:00:25Z,"<p>Decadent Dark Chocolate coated wafers Wafers, Covered in a crunchy Pretzel Crumb.</p>
<p>100g</p>
<p> </p>",Default Title,Title,Default Title,71708681961821,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BFFestiveJoyLavender.jpg?v=1733313604
14815414288733,Christmas Cake with Almond Paste 200g,christmas-cake-with-almond-paste,Food,,55068893774173,8.99,19,2024-12-04T11:58:33Z,2024-12-04T11:58:33Z,"<p>A delicious Stollen with Almond Paste, dense Christmas Cake</p>
<p>200g</p>",Default Title,Title,Default Title,71708670230877,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BFFestiveJoyLavender_2.jpg?v=1733313478
14815363563869,Christmas Cake with Rhum 750g,christmas-cake-with-rhum,Food,,55068836036957,14.99,14,2024-12-04T11:51:44Z,2024-12-04T11:51:43Z,"<p>A delicious Stollen with Rhum - dense Christmas Cake</p>
<p>750g</p>
<p> </p>",Default Title,Title,Default Title,71708408742237,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/BF_Festive_Joy_Lavender_3.jpg?v=1733313413
14789694357853,Traditional Maltese Coffee,traditional-maltese-coffee,"Tea, Coffee & Accessories",2024-11-28T21:33:09Z,54972362686813,7.5,20,2024-11-28T21:33:10Z,2024-11-28T21:33:09Z,"<p><meta charset=""utf-8"">Delight in the bold, aromatic flavors of our Traditional Maltese Coffee, made with roasted chicory, fragrant cloves, and a hint of aniseed. This unique blend offers a rich, spicy profile perfect for those seeking a distinctive, flavorful coffee experience. Ideal for coffee connoisseurs or as a special treat.</p>
<p>Made in Malta</p>
<p>Weight : 200 gr</p>",Default Title,Title,Default Title,71615619432797,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/Yourparagraphtext_3.png?v=1732829548
14789692686685,Christmas Spice Festive Nut Butter,christmas-spice-festive-nut-butter,Food,,54972349251933,4.95,29,2024-11-28T21:28:23Z,2024-11-28T21:28:21Z,"<p><meta charset=""utf-8"">Indulge in the festive flavors of our Christmas Spice Nut Butter, a creamy blend of premium nuts and warm seasonal spices. Perfect for spreading, baking, or adding a holiday twist to your favorite snacks. A delightful treat in a jar, perfect for gifting or savoring the holiday spirit.</p>
<p>Made in Malta</p>
<p>Weight : 106gr</p>",Default Title,Title,Default Title,71615586206045,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/Yourparagraphtext_2.png?v=1732829285
14789691605341,Red Pepper Jam,red-pepper-jam,Food,2024-11-28T21:25:34Z,54972345123165,4.25,40,2024-11-28T21:25:35Z,2024-11-28T21:25:34Z,"<p><meta charset=""utf-8"">Bring a touch of sweet heat to your meals with our Red Pepper Jam, crafted from vibrant red peppers and a hint of spice. Perfect for glazing meats, pairing with cheeses, or adding a bold flavor to appetizers.</p>
<p>Made in Spain.</p>
<p>Weight 106 gr</p>",Default Title,Title,Default Title,71615569297757,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/21_e61aaa00-ba80-44f5-bd44-0ff5dcd2acfb.png?v=1732829110
14789691310429,Onion Jam,onion-jam,Food,2024-11-28T21:24:23Z,54972343320925,4.25,40,2024-11-28T21:24:24Z,2024-11-28T21:24:23Z,"<p><meta charset=""utf-8"">Add a savory twist to your dishes with our Onion Jam, a rich blend of caramelized onions and subtle spices. Perfect for pairing with cheeses, enhancing burgers, or adding depth to sauces.</p>
<p>Made in Spain </p>
<p>Weight 106 gr</p>",Default Title,Title,Default Title,71615562776925,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/22_f0d6b045-a40d-496f-998e-4e5f4401e3b1.png?v=1732829041
14789686427997,Strawberry Jam,strawberry-jam,Food,2024-11-28T21:22:53Z,54972325331293,4.25,45,2024-11-28T21:22:55Z,2024-11-28T21:22:53Z,"<p><meta charset=""utf-8"">Savor the classic taste of our Strawberry Jam, made with ripe, luscious strawberries for a rich and fruity experience. Perfect for spreading on bread, topping pancakes, or enhancing your favorite desserts. Perfect for small servings or thoughtful gifts</p>
<p>Made in Spain </p>
<p>Weight : 106gr</p>",Default Title,Title,Default Title,71615543148893,https://cdn.shopify.com/s/files/1/0419/2059/4086/files/20_4972864c-3c12-40bd-891f-c6d8f0ed5ee9.png?v=1732828927
